Fell/found?,Meteor mass classes,Place,Type of meteorite,Year,Coordinate 1,Coordinates 2,"Sum of Mass, g"
Found,0-9kg,ALH 82131,CM2,1982,-76.88366,156.92815,1
Found,0-9kg,ALH 82130,Ureilite,1982,-77.04237,157.25116,44.6
Found,0-9kg,ALH 82129,H5,1982,-76.97495,156.91895,14.1
Found,0-9kg,ALH 82128,H4,1982,-76.96339,156.91969,15.2
Found,0-9kg,ALH 82127,H6,1982,-76.96966,156.90165,5.1
Found,0-9kg,ALH 82126,H4,1982,-76.90692,157.0235,139.9
Found,0-9kg,ALH 82125,L6,1982,-76.98262,156.90998,178.4
Found,0-9kg,ALH 82124,H6,1982,-77.03811,157.24166,25.8
Found,0-9kg,ALH 82123,L6,1982,-76.94677,156.92971,110.8
Found,0-9kg,ALH 82122,H5,1982,-76.98507,156.90009,142
Found,0-9kg,ALH 82121,L6,1982,-77.03722,157.23658,2.4
Found,0-9kg,ALH 82120,H5,1982,-76.90581,157.00988,7.2
Found,0-9kg,ALH 82119,H5,1982,-76.9791,156.92267,23.9
Found,0-9kg,ALH 82118,L6,1982,-77.04408,157.2676,110.9
Found,0-9kg,ALH 82117,L5,1982,-77.04025,157.2305,4.2
Found,0-9kg,ALH 82116,H6,1982,-77.03694,157.04639,18.4
Found,0-9kg,ALH 82115,H5,1982,-76.97442,156.90877,48.5
Found,0-9kg,ALH 82114,H5,1982,-77.03648,157.23968,40.7
Found,0-9kg,ALH 82113,H6,1982,-76.97126,156.90291,61.2
Found,0-9kg,ALH 82112,H5,1982,-76.96674,156.91777,28.3
Found,0-9kg,ALH 82111,L6,1982,-76.91278,156.97551,63
Found,0-9kg,ALH 82110,H3.6,1982,-77.03342,157.25235,39.3
Found,0-9kg,ALH 82109,H5,1982,-77.02778,157.03028,47.2
Found,0-9kg,ALH 82108,H5,1982,-76.96353,156.9203,13.5
Found,0-9kg,ALH 82107,L5,1982,-76.97697,156.91541,9.2
Found,0-9kg,ALH 82106,Ureilite,1982,-77.03788,157.2516,35.1
Found,0-9kg,ALH 82105,L6,1982,-77.04867,157.18333,363.3
Found,0-9kg,ALH 82104,L5,1982,-77.05074,157.19834,398.8
Found,0-9kg,ALH 82103,H5,1982,-76.89661,156.99137,2529
Found,0-9kg,ALH 82102,H5,1982,-77.04666,157.24407,48.1
Found,0-9kg,ALH 82101,CO3.4,1982,-76.88426,156.93086,29.1
Found,0-9kg,ALH 82100,CM2,1982,-76.97691,156.93841,24.3
Found,0-9kg,Aldama (b),H5,1996,25.05,-106,66.5
Found,0-9kg,Akmolla,H4,1988,39.53833,59.55833,114
Found,0-9kg,AH 002,H5,2000,19.27167,57.38667,81.4
Found,0-9kg,AH 001,L4,2000,19.42,57.18833,41.5
Found,0-9kg,Aguemour 016,L5,1993,27.59167,4.31694,177
Found,0-9kg,Aguemour 015,L4,1993,27.50972,4.16111,1106
Found,0-9kg,Aguemour 014,L5,1993,27.57806,4.3225,167
Found,0-9kg,Aguemour 013,L5,1993,27.56972,4.52556,364
Found,0-9kg,Aguemour 012,H5,1993,27.5175,4.19111,347
Found,0-9kg,Aguemour 011,H4,1993,27.35028,4.2025,207
Found,0-9kg,Aguemour 010,H5,1993,27.36056,4.94472,367
Found,0-9kg,Aguemour 009,L3.8,1992,27.42861,4.12417,1446
Found,0-9kg,Aguemour 008,L4,1992,27.47889,4.19806,79
Found,0-9kg,Aguemour 007,H4,1992,27.50778,4.60167,334
Found,0-9kg,Aguemour 006,L6,1992,27.57639,4.52528,435
Found,0-9kg,Aguemour 005,H5,1991,27.43583,4.63861,859
Found,0-9kg,Aguemour 004,H5,1990,27.33333,4.5,1137
Found,0-9kg,Aguemour 003,L6,1990,27.36667,4.5,809
Found,0-9kg,Aguemour 002,L6,1990,26.96667,4.4,236
Found,0-9kg,Aguemour 001,H5,1990,26.96667,4.45,896
Found,0-9kg,Agoult,Eucrite,2000,30.55,-4.9,82
Found,0-9kg,Adrar Madet,H5/6,1997,18.5,10.4,1113
Found,0-9kg,Adrar 003,L/LL3.10,1990,27.13333,0.2,287
Found,0-9kg,Adrar 002,L5,1990,27.81667,0.13333,407
Found,0-9kg,Adrar 001,H4/5,1990,28.05,0.16667,1917
Found,0-9kg,Ackerly,L5,1995,32.59033,-101.77217,3046
Found,0-9kg,Acfer 393,H~6,1997,27.58333,4.03333,74
Found,0-9kg,Acfer 392,H~5,1997,27.51667,3.86667,74
Found,0-9kg,Acfer 326,L6,1989,27.5,3.61667,139
Found,0-9kg,Acfer 325,LL6,1989,27.5,3.61667,32
Found,0-9kg,Acfer 320,H5,1992,27.46056,3.88806,167
Found,0-9kg,Acfer 319,L6,1992,27.55194,3.81611,2393
Found,0-9kg,Acfer 318,H5,1992,27.55028,3.99806,292
Found,0-9kg,Acfer 317,H5,1992,27.59278,4.40139,878
Found,0-9kg,Acfer 316,H6,1992,27.6875,4.245,126
Found,0-9kg,Acfer 315,L/LL6,1992,27.69972,4.18611,506
Found,0-9kg,Acfer 314,H6,1992,27.66389,4.09806,169
Found,0-9kg,Acfer 313,H5,1992,27.60056,3.99556,78
Found,0-9kg,Acfer 312,L5,1992,27.57861,3.96889,364
Found,0-9kg,Acfer 311,CR2,1992,27.50806,3.84417,120
Found,0-9kg,Acfer 310,H6,1992,27.68361,4.25306,169
Found,0-9kg,Acfer 309,L6,1992,27.64556,4.20444,185
Found,0-9kg,Acfer 308,H5,1992,27.55972,4.01028,74
Found,0-9kg,Acfer 307,L5,1992,27.49083,3.89778,520
Found,0-9kg,Acfer 306,L6,1992,27.42889,3.82,129
Found,0-9kg,Acfer 305,L6,1992,27.68722,4.18361,369
Found,0-9kg,Acfer 304,H6,1992,27.62361,4.02556,60
Found,0-9kg,Acfer 303,H5/6,1992,27.60222,3.98528,83
Found,0-9kg,Acfer 302,H5,1992,27.58694,3.96417,95
Found,0-9kg,Acfer 301,H4,1992,27.52722,3.89806,162
Found,0-9kg,Acfer 300,H6,1992,27.59028,4.15194,270
Found,0-9kg,Acfer 299,LL4,1992,27.6825,4.42028,180
Found,0-9kg,Acfer 298,L6,1992,27.70917,4.17444,2000
Found,0-9kg,Acfer 297,L6,1992,27.63361,4.04139,43
Found,0-9kg,Acfer 296,LL5-6,1992,27.58278,4,121
Found,0-9kg,Acfer 295,LL6,1992,27.48333,3.91556,217
Found,0-9kg,Acfer 294,H4,1992,27.64972,4.01194,457
Found,0-9kg,Acfer 293,LL6,1992,27.66583,4.19056,198
Found,0-9kg,Acfer 292,H5,1992,27.71861,4.48611,432
Found,0-9kg,Acfer 291,H6,1992,27.70806,4.24806,261
Found,0-9kg,Acfer 290,L6,1992,27.54528,4.04861,213
Found,0-9kg,Acfer 289,CR2,1992,27.47417,3.86417,76
Found,0-9kg,Acfer 288,L5,1992,27.59139,3.98806,55
Found,0-9kg,Acfer 287,E4,1992,27.61667,4.19056,59
Found,0-9kg,Acfer 286,H6,1991,27.79472,4.16722,407
Found,0-9kg,Acfer 285,H4/5,1991,27.63139,4.10722,69
Found,0-9kg,Acfer 284,H5,1991,27.70611,4.20583,120
Found,0-9kg,Acfer 283,H5,1991,27.70056,4.22944,187
Found,0-9kg,Acfer 282,H6,1991,27.65444,4.27528,67
Found,0-9kg,Acfer 281,L5,1991,27.54222,3.88444,165
Found,0-9kg,Acfer 280,L6,1991,27.53528,3.91278,177
Found,0-9kg,Acfer 279,H5,1991,27.64278,4.06889,96
Found,0-9kg,Acfer 278,H5,1991,27.63861,4.12722,72
Found,0-9kg,Acfer 277,Ureilite,1991,27.63917,4.14278,41
Found,0-9kg,Acfer 276,H5,1991,27.63972,4.14528,99
Found,0-9kg,Acfer 275,H5-6,1991,27.63361,4.17306,429
Found,0-9kg,Acfer 274,H6,1991,27.63389,4.18722,203
Found,0-9kg,Acfer 273,H5/6,1991,27.62194,4.45556,2110
Found,0-9kg,Acfer 272,CV3,1991,27.57028,4.075,63
Found,0-9kg,Acfer 271,H6,1991,27.56111,4.05556,237
Found,0-9kg,Acfer 270,CR2,1991,27.51861,3.85722,298
Found,0-9kg,Acfer 269,LL6,1991,27.51472,3.86556,276
Found,0-9kg,Acfer 268,LL4-6,1991,27.51389,3.87528,764
Found,0-9kg,Acfer 267,LL5-6,1991,27.51056,3.71306,229
Found,0-9kg,Acfer 266,L6,1991,27.72722,4.17056,518
Found,0-9kg,Acfer 265,Mesosiderite,1991,27.715,4.19278,83
Found,0-9kg,Acfer 264,LL6,1991,27.69472,4.30639,243
Found,0-9kg,Acfer 263,L6,1991,27.69111,4.3375,438
Found,0-9kg,Acfer 262,H4,1991,27.67,4.49722,92
Found,0-9kg,Acfer 261,L6,1991,27.70917,4.42083,73
Found,0-9kg,Acfer 260,H5,1991,27.47556,3.71028,177
Found,0-9kg,Acfer 259,H3-6,1991,27.52444,3.87361,114
Found,0-9kg,Acfer 258,H6,1991,27.67056,4.34611,212
Found,0-9kg,Acfer 257,H6,1991,27.68528,4.50333,75
Found,0-9kg,Acfer 256,H5/6,1991,27.64611,4.39722,235
Found,0-9kg,Acfer 255,L6,1991,27.64611,4.39722,124
Found,0-9kg,Acfer 254,L6,1991,27.52222,3.94694,99
Found,0-9kg,Acfer 253,LL5-6,1991,27.51361,3.89694,47
Found,0-9kg,Acfer 252,L6,1991,27.51111,3.88444,146
Found,0-9kg,Acfer 251,LL5-6,1991,27.50972,3.88056,202
Found,0-9kg,Acfer 250,H6,1991,27.55139,3.74194,382
Found,0-9kg,Acfer 249,H5/6,1991,27.62167,3.95361,99
Found,0-9kg,Acfer 248,L3.9/4,1991,27.63556,4.02528,402
Found,0-9kg,Acfer 247,L4,1991,27.63611,4.03139,60
Found,0-9kg,Acfer 246,L6,1991,27.69222,3.32167,923
Found,0-9kg,Acfer 245,H5,1991,27.56389,3.92639,75
Found,0-9kg,Acfer 244,H6,1991,27.52472,3.80972,2045
Found,0-9kg,Acfer 243,CO3.7,1991,27.52639,3.79417,99
Found,0-9kg,Acfer 242,L6,1991,27.52111,3.77333,318
Found,0-9kg,Acfer 241,L6,1991,27.51583,3.72722,86
Found,0-9kg,Acfer 240,L6,1991,27.49833,3.69444,342
Found,0-9kg,Acfer 239,H6,1991,27.48444,3.66639,160
Found,0-9kg,Acfer 238,H4/5,1991,27.50361,3.67306,311
Found,0-9kg,Acfer 237,H3,1991,27.49167,3.83278,673
Found,0-9kg,Acfer 236,LL6,1991,27.51056,3.89111,81
Found,0-9kg,Acfer 235,H5,1991,27.51889,4.01667,461
Found,0-9kg,Acfer 234,"Iron, IAB-ung",1991,27.50111,4.09861,621
Found,0-9kg,Acfer 233,H5/6,1991,27.71722,4.44806,242
Found,0-9kg,Acfer 232,H5,1991,27.73944,4.32833,725
Found,0-9kg,Acfer 231,H4/5,1991,27.73472,4.31611,218
Found,0-9kg,Acfer 230,H5,1991,27.74056,4.30833,69
Found,0-9kg,Acfer 229,H5,1991,27.82611,4.24611,325
Found,0-9kg,Acfer 228,L5,1991,27.57389,4.11972,2285
Found,0-9kg,Acfer 227,H6,1991,27.66861,4.425,78
Found,0-9kg,Acfer 226,H5,1991,27.68444,3.99389,221
Found,0-9kg,Acfer 225,H3,1991,27.64528,3.94389,255
Found,0-9kg,Acfer 224,H5/6,1991,27.63889,3.93444,85
Found,0-9kg,Acfer 223,L/LL6,1991,27.54194,3.82778,1398
Found,0-9kg,Acfer 222,H5/6,1991,27.54194,3.82778,334
Found,0-9kg,Acfer 221,H5/6,1991,27.5325,3.81361,812
Found,0-9kg,Acfer 220,H5,1991,27.52417,3.79694,117
Found,0-9kg,Acfer 219,H6,1991,27.52139,3.79139,2611
Found,0-9kg,Acfer 218,L6,1991,27.54472,3.74306,114
Found,0-9kg,Acfer 217,R3.8-5,1991,27.59444,3.88583,174
Found,0-9kg,Acfer 216,L6,1991,27.59972,4.90361,293
Found,0-9kg,Acfer 215,L5,1991,27.64028,4.17056,107
Found,0-9kg,Acfer 214,CH3,1991,27.69,4.37861,612
Found,0-9kg,Acfer 213,L6,1991,27.68111,4.30694,526
Found,0-9kg,Acfer 212,H5,1991,27.61278,3.71361,1340
Found,0-9kg,Acfer 211,H3.9,1991,27.46472,3.78167,1009
Found,0-9kg,Acfer 210,H3.7,1991,27.49722,3.87028,720
Found,0-9kg,Acfer 209,CR2,1991,27.50472,3.88194,475
Found,0-9kg,Acfer 208,LL5,1991,27.50472,3.88194,510
Found,0-9kg,Acfer 207,CH3,1991,27.68806,4.37194,105
Found,0-9kg,Acfer 206,H5,1991,27.69083,4.37861,1229
Found,0-9kg,Acfer 205,H5,1991,27.7375,4.32806,746
Found,0-9kg,Acfer 204,H3,1991,27.64639,3.98306,64
Found,0-9kg,Acfer 203,H5,1991,27.57806,4.36917,292
Found,0-9kg,Acfer 202,CO3.5,1991,27.50889,4.60167,389
Found,0-9kg,Acfer 201,L5,1991,27.59222,3.91806,55
Found,0-9kg,Acfer 200,H3-6,1991,27.50194,3.92111,1301
Found,0-9kg,Acfer 199,L4,1991,27.48028,3.85139,215
Found,0-9kg,Acfer 198,H6,1991,27.51694,3.79139,267
Found,0-9kg,Acfer 197,L6,1991,27.55583,4.14,115
Found,0-9kg,Acfer 196,H5,1991,27.57694,4.03389,29
Found,0-9kg,Acfer 195,H6,1991,27.52472,3.81139,233
Found,0-9kg,Acfer 194,H5,1991,27.49944,3.68889,361
Found,0-9kg,Acfer 193,LL4-6,1990,27.56667,3.95,157
Found,0-9kg,Acfer 192,H3.9-5,1990,27.65,4.2,219
Found,0-9kg,Acfer 191,L6,1990,27.7,4.3,188
Found,0-9kg,Acfer 190,L6,1990,27.7,4.3,4439
Found,0-9kg,Acfer 189,H6,1990,27.6,4.18333,53
Found,0-9kg,Acfer 188,H3.9/4,1990,27.58333,4.11667,252
Found,0-9kg,Acfer 187,CR2,1990,27.46667,3.9,234
Found,0-9kg,Acfer 186,CR2,1990,27.46667,3.86667,315
Found,0-9kg,Acfer 185,LL5,1990,27.53333,3.83333,109
Found,0-9kg,Acfer 184,H5,1990,27.56667,4.01667,311
Found,0-9kg,Acfer 183,H5,1990,27.58333,4.16667,114
Found,0-9kg,Acfer 182,CH3,1990,27.7,4.35,166
Found,0-9kg,Acfer 181,L6,1990,27.66667,4.2,245
Found,0-9kg,Acfer 180,H3.9-5,1990,27.6,4.16667,103
Found,0-9kg,Acfer 179,L6,1990,27.46667,3.75,163
Found,0-9kg,Acfer 178,H3.7,1990,27.48333,3.75,488
Found,0-9kg,Acfer 177,LL5-6,1990,27.48333,3.85,721
Found,0-9kg,Acfer 176,LL5-6,1990,27.48333,3.85,320
Found,0-9kg,Acfer 175,LL5-6,1990,27.48333,3.85,153
Found,0-9kg,Acfer 174,LL6,1990,27.48333,3.86667,127
Found,0-9kg,Acfer 173,H6,1990,27.65,4.03333,262
Found,0-9kg,Acfer 172,L6,1990,27.66667,4.16667,766
Found,0-9kg,Acfer 171,H3.7,1990,27.65,4.25,313
Found,0-9kg,Acfer 169,H3.8/4,1990,27.73333,4.11667,559
Found,0-9kg,Acfer 168,L6,1990,27.6,3.98333,211
Found,0-9kg,Acfer 167,L5,1990,27.51667,4,157
Found,0-9kg,Acfer 166,H3-5,1990,27.51667,4.23333,2476
Found,0-9kg,Acfer 165,H5-6,1990,27.56667,4.33333,84
Found,0-9kg,Acfer 164,H5,1990,27.53333,4.18333,43
Found,0-9kg,Acfer 163,H3.8-5,1990,27.7,4.35,125
Found,0-9kg,Acfer 162,H3-6,1990,27.66667,4.01667,1281
Found,0-9kg,Acfer 161,H5,1990,27.75,4.43333,604
Found,0-9kg,Acfer 160,LL3.8-6,1990,27.46667,3.71667,433
Found,0-9kg,Acfer 159,H3.8,1990,27.5,3.93333,123
Found,0-9kg,Acfer 158,H4/5,1990,27.66667,4.21667,422
Found,0-9kg,Acfer 157,L6,1990,27.66667,4.23333,1072
Found,0-9kg,Acfer 156,L6,1990,27.66667,4.23333,240
Found,0-9kg,Acfer 155,L6,1990,27.66667,4.25,206
Found,0-9kg,Acfer 154,H5,1990,27.55,4.01667,95
Found,0-9kg,Acfer 153,H3.6-6,1990,27.53333,3.95,211
Found,0-9kg,Acfer 152,H5,1990,27.43333,3.75,157
Found,0-9kg,Acfer 151,H5,1990,27.46667,3.71667,218
Found,0-9kg,Acfer 150,H5,1990,27.56667,3.81667,251
Found,0-9kg,Acfer 149,L/LL6,1990,27.58333,4.05,394
Found,0-9kg,Acfer 148,H5,1990,27.58333,4.06667,157
Found,0-9kg,Acfer 147,L6,1990,27.6,4.11667,140
Found,0-9kg,Acfer 146,H5,1990,27.63333,4.08333,200
Found,0-9kg,Acfer 145,L6,1990,27.66667,4.28333,869
Found,0-9kg,Acfer 144,L6,1990,27.66667,4.28333,186
Found,0-9kg,Acfer 143,L6,1990,27.66667,4.45,417
Found,0-9kg,Acfer 142,L5,1990,27.56667,4.35,91
Found,0-9kg,Acfer 141,H5,1990,27.58333,3.85,58
Found,0-9kg,Acfer 140,L5,1990,27.56667,4.08333,171
Found,0-9kg,Acfer 139,CR2,1990,27.56667,4.08333,143
Found,0-9kg,Acfer 138,L5,1990,27.66667,4.08333,941
Found,0-9kg,Acfer 137,H4/5,1990,27.58333,4.08333,106
Found,0-9kg,Acfer 136,H5,1990,27.46667,4.05,324
Found,0-9kg,Acfer 135,H5,1990,27.55,4.03333,124
Found,0-9kg,Acfer 134,L5,1990,27.76667,4.53333,1161
Found,0-9kg,Acfer 133,L3-5,1990,27.5,3.83333,362
Found,0-9kg,Acfer 132,H6,1990,27.5,3.76667,1621
Found,0-9kg,Acfer 131,LL6,1990,27.58333,3.96667,171
Found,0-9kg,Acfer 130,H5,1990,27.58333,4,400
Found,0-9kg,Acfer 129,H3.7,1990,27.6,4.2,162
Found,0-9kg,Acfer 128,L6,1990,27.5,4.3,163
Found,0-9kg,Acfer 127,L6,1990,27.7,4.3,699
Found,0-9kg,Acfer 126,LL5-6,1990,27.51667,3.8,280
Found,0-9kg,Acfer 125,L6,1990,27.68333,4.35,3380
Found,0-9kg,Acfer 124,LL5-6,1990,27.6,4.05,542
Found,0-9kg,Acfer 123,H3.9,1990,27.46667,3.76667,452
Found,0-9kg,Acfer 122,L4/5,1990,27.5,3.66667,235
Found,0-9kg,Acfer 121,L5-6,1990,27.68333,4.33333,427
Found,0-9kg,Acfer 120,LL6,1990,27.65,4.3,861
Found,0-9kg,Acfer 119,H3.8,1990,27.65,4.23333,121
Found,0-9kg,Acfer 118,L6,1990,27.66667,4.2,752
Found,0-9kg,Acfer 117,H4,1990,27.73333,4.2,178
Found,0-9kg,Acfer 116,L6,1990,27.73333,4.16667,345
Found,0-9kg,Acfer 115,H6,1990,27.73333,4.16667,287
Found,0-9kg,Acfer 114,CR2,1990,27.6,3.96667,43
Found,0-9kg,Acfer 113,LL6,1990,27.56667,4.03333,2906
Found,0-9kg,Acfer 112,LL4/5,1990,27.65,4.03333,216
Found,0-9kg,Acfer 111,H3-6,1990,27.48333,3.8,987
Found,0-9kg,Acfer 110,L6,1990,27.48333,3.8,107
Found,0-9kg,Acfer 109,H4/5,1990,27.55,3.76667,236
Found,0-9kg,Acfer 108,H6,1990,27.5,3.88333,828
Found,0-9kg,Acfer 107,L6,1990,27.45,3.75,105
Found,0-9kg,Acfer 106,LL6,1990,27.5,3.9,1390
Found,0-9kg,Acfer 105,L6,1990,27.55,4.13333,392
Found,0-9kg,Acfer 104,H4/5,1990,27.63333,4.36667,992
Found,0-9kg,Acfer 103,H5,1990,27.8,4.5,665
Found,0-9kg,Acfer 102,L3-5,1990,27.66667,4.46667,346
Found,0-9kg,Acfer 101,L6,1990,27.53333,4.16667,452
Found,0-9kg,Acfer 100,H6,1990,27.46667,3.95,140
Found,0-9kg,Acfer 099,H5,1990,27.45,3.83333,313
Found,0-9kg,Acfer 098,H5,1990,27.46667,3.88333,5500
Found,0-9kg,Acfer 097,CR2,1990,27.51667,3.96667,63
Found,0-9kg,Acfer 096,L4-5,1990,27.61667,4.2,572
Found,0-9kg,Acfer 095,H3.7,1990,27.71667,4.38333,104
Found,0-9kg,Acfer 094,C2-ung,1990,27.73333,4.43333,82
Found,0-9kg,Acfer 093,L5,1990,27.71667,4.13333,420
Found,0-9kg,Acfer 092,H5,1990,27.66667,4.51667,244
Found,0-9kg,Acfer 091,LL5-6,1990,27.45,4.11667,3487
Found,0-9kg,Acfer 090,H5,1990,27.5,3.83333,290
Found,0-9kg,Acfer 089,H5,1990,27.63333,4.3,682
Found,0-9kg,Acfer 088,L6,1990,27.75,4.43333,200
Found,0-9kg,Acfer 087,CR2,1990,27.7,4.26667,163
Found,0-9kg,Acfer 086,CV3,1990,27.66667,4.18333,173
Found,0-9kg,Acfer 085,H5,1990,27.58333,3.95,293
Found,0-9kg,Acfer 084,H5,1990,27.55,3.86667,6300
Found,0-9kg,Acfer 083,L6,1990,27.48333,3.63333,690
Found,0-9kg,Acfer 082,CV3,1990,27.5,3.48333,208
Found,0-9kg,Acfer 081,LL5-6,1990,27.53333,3.86667,110
Found,0-9kg,Acfer 080,L3.9,1990,27.63333,4.51667,574
Found,0-9kg,Acfer 079,L6,1990,27.5,3.68333,387
Found,0-9kg,Acfer 078,H5,1990,27.56667,4.15,105
Found,0-9kg,Acfer 077,L6,1990,27.63333,4.51667,2538
Found,0-9kg,Acfer 076,H5,1990,27.7,4.35,183
Found,0-9kg,Acfer 075,H5,1990,27.51667,3.73333,1453
Found,0-9kg,Acfer 074,L6,1990,27.48333,3.83333,384
Found,0-9kg,Acfer 073,H5,1990,27.53333,3.85,2010
Found,0-9kg,Acfer 072,L5/6,1990,27.63333,4.25,162
Found,0-9kg,Acfer 071,L6,1990,27.63333,4.28333,1379
Found,0-9kg,Acfer 070,H4/5,1990,27.68333,4.48333,138
Found,0-9kg,Acfer 069,L6,1990,27.53333,3.83333,941
Found,0-9kg,Acfer 068,L6,1990,27.55,3.7,1805
Found,0-9kg,Acfer 067,H5,1990,27.71667,4.78333,383
Found,0-9kg,Acfer 066,LL3.8-6,1990,27.63333,4.06667,517
Found,0-9kg,Acfer 065,H4-5,1989,27.5,4.28333,1539
Found,0-9kg,Acfer 064,L5,1989,27.61667,4.56667,854
Found,0-9kg,Acfer 063,Mesosiderite,1989,27.61667,4.56667,716
Found,0-9kg,Acfer 062,H5,1989,27.6,4.41667,283
Found,0-9kg,Acfer 061,H4-5,1989,27.6,4.25,105
Found,0-9kg,Acfer 060,H4,1989,27.56667,4.16667,226
Found,0-9kg,Acfer 059,CR2,1989,27.51667,4.06667,281
Found,0-9kg,Acfer 058,LL5-6,1989,27.38333,3.71667,277
Found,0-9kg,Acfer 057,LL?,1989,27.416667,3.816667,120
Found,0-9kg,Acfer 056,L4,1989,27.46667,3.88333,129
Found,0-9kg,Acfer 055,H5,1989,27.5,3.98333,1338
Found,0-9kg,Acfer 054,H5,1989,27.7,3.93333,2051
Found,0-9kg,Acfer 053,H6,1989,27.73333,4.05,1937
Found,0-9kg,Acfer 052,L5,1989,27.75,4.15,58
Found,0-9kg,Acfer 051,L5,1989,27.61667,4.41667,905
Found,0-9kg,Acfer 050,H6,1989,27.65,4.5,1394
Found,0-9kg,Acfer 049,H5,1989,27.41667,3.71667,82.9
Found,0-9kg,Acfer 048,H4-5,1989,27.55,4.08333,115
Found,0-9kg,Acfer 047,L4,1989,27.83333,4.7,1440
Found,0-9kg,Acfer 046,H5,1989,27.78333,4.7,1066
Found,0-9kg,Acfer 045,Stone-uncl,1989,27.75,4.7,294
Found,0-9kg,Acfer 044,L6,1989,27.55,4,195
Found,0-9kg,Acfer 043,H4,1989,27.51667,3.91667,120
Found,0-9kg,Acfer 042,H5,1989,27.46667,3.83333,246
Found,0-9kg,Acfer 041,L/LL6,1989,27.43333,3.71667,134
Found,0-9kg,Acfer 040,L5-6,1989,27.46667,3.78333,146
Found,0-9kg,Acfer 039,L3.8,1989,27.53333,3.91667,225
Found,0-9kg,Acfer 038,H5,1989,27.53333,4,962
Found,0-9kg,Acfer 037,LL4-6,1989,27.55,4.13333,385
Found,0-9kg,Acfer 036,L5/6,1989,27.58333,4.25,112
Found,0-9kg,Acfer 035,H6,1989,27.6,4.3,36
Found,0-9kg,Acfer 034,L6,1989,27.63333,4.35,184
Found,0-9kg,Acfer 033,L6,1989,27.65,4.43333,93
Found,0-9kg,Acfer 032,L6,1989,27.65,4.46667,495
Found,0-9kg,Acfer 031,H5,1989,27.66667,4.35,2016
Found,0-9kg,Acfer 030,LL6,1989,27.68333,4.41667,123
Found,0-9kg,Acfer 029,H4,1989,27.68333,4.33333,98
Found,0-9kg,Acfer 028,H3.8,1989,27.66667,4.25,3130
Found,0-9kg,Acfer 027,H5,1989,27.66667,4.2,206
Found,0-9kg,Acfer 026,H5/6,1989,27.61667,4.05,88
Found,0-9kg,Acfer 025,H5,1989,27.58333,3.96667,920
Found,0-9kg,Acfer 024,H5,1989,27.55,3.93333,1464
Found,0-9kg,Acfer 023,H3.8,1989,27.51667,3.91667,118
Found,0-9kg,Acfer 022,H3.7,1989,27.51667,3.83333,192
Found,0-9kg,Acfer 021,H6,1989,27.55,3.61667,2140
Found,0-9kg,Acfer 020,H5,1989,27.7,4.06667,708
Found,0-9kg,Acfer 019,L6,1989,27.7,4.06667,581
Found,0-9kg,Acfer 018,H5,1989,27.7,4.08333,207
Found,0-9kg,Acfer 017,L5,1989,27.73333,4.4,446
Found,0-9kg,Acfer 016,H4-5,1989,27.71667,4.48333,111
Found,0-9kg,Acfer 015,L6,1989,27.78333,4.28333,98
Found,0-9kg,Acfer 014,H5,1989,27.8,4.46667,307
Found,0-9kg,Acfer 013,H5,1989,27.83333,4.28333,490
Found,0-9kg,Acfer 012,H6,1989,27.8,4.16667,98
Found,0-9kg,Acfer 011,H5,1989,27.75,4.16667,3800
Found,0-9kg,Acfer 010,L6,1989,27.75,4.1,276
Found,0-9kg,Acfer 009,L6,1989,27.73333,4.08333,127
Found,0-9kg,Acfer 008,H5,1989,27.53333,3.7,205
Found,0-9kg,Acfer 007,L5,1989,27.51667,3.65,542
Found,0-9kg,Acfer 006,H3.9/4,1989,27.63333,3.96667,561
Found,0-9kg,Acfer 005,H3.9/4,1989,27.6,3.83333,115
Found,0-9kg,Acfer 004,L6,1989,27.58333,3.81667,1020
Found,0-9kg,Acfer 003,H5,1989,27.81667,4.03333,145
Found,0-9kg,Acfer 002,H5,1989,27.61667,3.85,228
Found,0-9kg,Acfer 001,L6,1989,27.5,3.61667,6700
Found,0-9kg,Abu Moharek,H4,1997,27.23944,29.83583,4500
Found,0-9kg,Abajo,H5,1982,26.8,-105.41667,331
Found,0-9kg,A-882124,Stone-uncl,1988,-72,26,3.6
Found,0-9kg,A-882123,H3,1988,-72,26,21.83
Found,0-9kg,A-882122,H4,1988,-72,26,214.93
Found,0-9kg,A-882121,H6,1988,-72,26,3686
Found,0-9kg,A-882120,H4,1988,-72,26,155.59
Found,0-9kg,A-882119,L4,1988,-72,26,219.62
Found,0-9kg,A-882118,LL3,1988,-72,26,48.61
Found,0-9kg,A-882117,Stone-uncl,1988,-72,26,5.55
Found,0-9kg,A-882116,H4,1988,-72,26,163.8
Found,0-9kg,A-882115,H4,1988,-72,26,86.06
Found,0-9kg,A-882114,L6,1988,-72,26,855.61
Found,0-9kg,A-882113,C4,1988,-72,26,53.98
Found,0-9kg,A-882112,Stone-uncl,1988,-72,26,4.52
Found,0-9kg,A-882111,LL5,1988,-72,26,59.27
Found,0-9kg,A-882110,H4,1988,-72,26,66.21
Found,0-9kg,A-882109,L,1988,-72,26,171.03
Found,0-9kg,A-882108,L4,1988,-72,26,532.11
Found,0-9kg,A-882107,L6,1988,-72,26,23.58
Found,0-9kg,A-882106,L6,1988,-72,26,290.34
Found,0-9kg,A-882105,H4,1988,-72,26,61.9
Found,0-9kg,A-882104,L6,1988,-72,26,14.31
